name,developer,star,url,img_url,developer_url,type,recommend_ls,describe,comment_num,comment_get_num
Muse Dash,X.D. Network,4.7,https://play.google.com/store/apps/details?id=com.prpr.musedash,https://lh3.googleusercontent.com/u7WaWMf3Glw8xrXnbYHEjEIkZiZyBOXK3MoxBNaiwWYAkpdy_NUZwBEjrPPZqxQkHw=s128-rw,https://play.google.com/store/apps/developer?id=X.D.+Network,Music,"['Lanota - Dynamic & Challenging Music Game', 'DEEMO', 'Hachi Hachi', 'Phigros', 'MUSYNX']","【Now Game Start!!——】Come and fix the world movement tampered with by a mirror image code with three beauties!   This is a world of the perfect combination of a cool parkour game and a traditional music game——Muse Dash!!Yes.You’re destined to be our Master!What? You don’t have nimble fingers? Meow~ Don’t be too modest!So, don’t worry! If you do not excel in playing action games, you can still overcome the difficulties by dancing to the music!Choose your favorite beauty to go through the romantic backdrop. Now let’s get started with our journey to wipe out all the adorkable monsters!!! 【Game Features】You will go through an unprecedented experienceof the perfect visualeffects of a parkour game and the traditional gameplay of a music game.◆ Unique and fashionable art design.There are 30 popular songs initially. Stay tuned for continuous updates!◆ Different music styles are matched to different scenes, enemies and Bosses.We have beauties, adorable pets and even adorkable enemies! Believe me, you will even be impressed by the Boss!◆Well-designed scripts and VO.【Award】Nominated， BitSummit VOL.6 2018 The Excellence in Sound Design AwardOfficial Selection， Taipei Game Show 2018Languages Supported:简体中文（Simplified Chinese）繁体中文 （Traditional Chinese）English日本語（Japanese)韩语（Korean）Facebook：@MuseDashtheGameTwitter: @MuseDashtheGame  Service email： MuseDash@xindong.com©2018 X.D. Network Inc. All rights reserved.",19188,960
Endless Cards,Christophe Coyard,4.6,https://play.google.com/store/apps/details?id=com.twotinydice.endlesscards,https://lh3.googleusercontent.com/u7WaWMf3Glw8xrXnbYHEjEIkZiZyBOXK3MoxBNaiwWYAkpdy_NUZwBEjrPPZqxQkHw=s128-rw,https://play.google.com/store/apps/developer?id=Christophe+Coyard,Card,[],"You’ll play as an adventurer, and have to use all the means at your disposal to survive as long as possible and, more importantly, gather as much gold coins as possible.In order to do so, you can use all the weapons, protection, potions and various objects you will find along the way.But be aware of the creatures you might also cross paths with, they won’t always have your best interest in mind…You’ll have to be strategic to plan the best path and try to survive for as long as possible.With the gold coins you’ll gather along the way, you will be able to unlock over 30 new cards with spectacular effects, as well as characters with unique abilities.Reach for your weapon, and give it your best shot to make the adventure last for as long as possible and reach the best score of the world ranking !",10,1
Delivery From the Pain (No Ads),DigiPotato Studio,4.7,https://play.google.com/store/apps/details?id=com.HuaYiGame.DeliveryFromThePain.GooglePlay,https://lh3.googleusercontent.com/YVSZZ5UZghNfMn6oG5L1zEny_Fxl-OEIXa6YYaoXX8WlLz1fNAnHI3Os8EVNOs0eilf-=s128-rw,https://play.google.com/store/apps/developer?id=DigiPotato+Studio,Strategy,"['Warz : Law of survival', 'Delivery From the Pain:Survive', 'Rebuild', 'Zombies & Puzzles', 'Dark Prison: Survival Action Game against Virus']","Delivery From The Pain is a survival-strategy game with a fantastic RPG storyline, it may take over 30 hours to unlock one ending if you are familiar with survival games. We added new FREE DLC - Big Brother’s Survival Legend for all survival game fans who have purchased the base game of Delivery From The Pain. Big Brother is watching you!About New DLC:1.New Story: the story between Big Brother & Moira explained lots of confuses you may have while playing base game.2.New Pet: a dog named hamburger will join your team with zombies & can be more energetic in toxic areas.3.New game system: creative feeding & training system will offer you a brand-new survival adventure experience in the zombie’s world.4.New Map: a new map of lumberyard will be added to offer you base survival food sources.5.New Character: a man who worked for Big Brother in Big Brother previous gang will appear in new DLC, you will know how can he survive in doomsday and you can trade with him too.6.New Mode: you can get unlimited survival supply pack under assist mode when you want to have a quick understanding about the new story, if you are an experienced survival game player, you can try the survival mode with significant difficulty to challenge yourself.7.New Cooking System: you can send gifts to Moira to get new surprise from her.In base game, you are not Alice; you are just an ordinary survivor in a horrible, zombie-ridden world. During your adventure you will:1. Fight against a variety of zombies with different strengths and weaknesses to unlock exciting boss fights.2. Meet different survivors with a unique personality and touched story. You can have many choices among different scenes, each choice you made will decide the story ahead and lead to different endings. 3. Study and learn how to survive in your night in doomsday by upgrading your shelter and defence system.4. Explore and find clues to uncover the truth behind.【Features】► Unique doomsday experience with hidden game features.► Multiple endings full of mysteries and surprises. Which one is the truth?► A huge map with dangerous, attractive 3D urban buildings. ► Lifelike NPCs with particular timelines and evocative story development.► Thought-provoking, consequential dialogue options.► An array of weapons and a unique sneak system that will provide hours of experimentation in combat and enjoyment of the game. ► Study system and workshop that offer myriad strategic choices. Try and acquire the safest shelter right away!► Over ten kinds of zombies with specific skills and four ultimate boss monsters are waiting for you.► Google Drive sync support, you won't lose your progress.► Support for Metal rendering to further enhance the performance!► No ads, no in-app purchases, you only need to pay once to download it then you can unlock the full game and DLC.【Story】In 201x, an anti-cancer research institute announced the discovery of the key to eternal life. In response to this breakthrough, Faith Energy Company concocted a vaccine-driven startup, the “Human X Plan.” However, the vaccine failed and all infected humans were turned into zombies. The area where you live has been severely affected. To uncover the conspiracy behind the Human X Plan, you have to explore and survive!You will meet many survivors. Do you want to see them all survive to the end? At what cost? What secret was hidden in the abandoned tapes, newspapers, magazines and files that you find along your way? Can you figure out the password to unlock the hope of door? This game is our first 3D indie game, we started to develop this game since 2015, and we are lucky to expand team from 5 to 7 members, we wonder if we are lucky enough to share this game to more players who like survival games. If you really like this game, help us to share this game to your favorite friends, streamer and Youtuber, thank you!【Follow us】Facebook： @DeliveryFromThePainTwitter： @DeliveryPainDiscord: https://discord.gg/Y88CZ66",617,72
ICEY,X.D. Network,4.6,https://play.google.com/store/apps/details?id=com.fantablade.icey,https://lh3.googleusercontent.com/YVSZZ5UZghNfMn6oG5L1zEny_Fxl-OEIXa6YYaoXX8WlLz1fNAnHI3Os8EVNOs0eilf-=s128-rw,https://play.google.com/store/apps/developer?id=X.D.+Network,Role Playing,"['Phigros', 'Muse Dash', 'MUSYNX', 'Lethe', 'WitchSpring4']","[Attention]If you have trouble initiating ICEY, please try reboot your device and try again. We are working on an update that fix this issue. [ABOUT THIS GAME]ICEY is a 2D side-scrolling action game. As you follow the narrator's omnipresent voice, you will see through ICEY's eyes and learn the truth about her world. “Alright, you caught me! This ISN'T really just a simple 2D action game, and you WON'T be seeing through ICEY's eyes... NOR will you learn the truth about her world."" says the narrator. “ICEY is a Meta game in disguise. The narrator will constantly urge you in one direction, but you must ask, ""Why? Why am I following his directions? Why can't I learn the truth about this world and ICEY's purpose here?"" Fight against his tyranny, and uncover what's really going on for yourself!In fact, you can become ICEY, and let loose the shackles of your own identity. You are ICEY, and ICEY is you... if you want it that way. Feel free to keep hold of your own self, if you wish. Now Is the Time For You to Discover the Truth.[FEATURES]Fast-paced Combat: Crush enemies in the palm of your hand. Attack! Dodge! Counterattack! Do not hesitate. This is the only way to survive! Incredible Combos: With simple controls, amazing combos are easy to unleash, even for beginners. Every skill is special in its own way. Master your favorites and create your own fighting style!Massive Cyborg Bosses: Can you withstand the onslaught of attacks from terrifying cyborg bosses? Every boss unleashes flurries of different attacks. It's up to you to find their weak spots and tear them apart!-Nominated, Tokyo Game Show 2016 DENGEKI PlayStation Best Indie Game-Official Selection, 2016 Gamescom Indie Arena Booth -Most Promising Game 2nd Prize, Taipei Game Show 2016 -Official Selection, Casual Connect Asia 2016 -Official Selection, IGF China 2015 -Best Technology Award, Indieplay 2015Operating system Android: version 4.1 or higher Recommended configuration RAM: 2 GB or more Storage: 500 MB (Android)Tips As gameplay smoothness and reliability are affected by screen resolution and the number of applications running in the background, you can adjust the image quality option to achieve balance between image, smoothness and power consumption. Languages Supported:*English*Francais*Español*简体中文 (Simplified Chinese)*繁体中文 (Traditional Chinese)Facebook: /ICEYtheGameTwitter:@ICEYtheGameService Email：ICEY@xindong.com2017 X.D. Network Inc. All rights reserved.",6747,536
軒轅劍參外傳 天之痕 (無廣告版),SOFTSTAR ENTERTAINMENT INC.,4.5,https://play.google.com/store/apps/details?id=com.softstar.G.swd3e,https://lh3.googleusercontent.com/YVSZZ5UZghNfMn6oG5L1zEny_Fxl-OEIXa6YYaoXX8WlLz1fNAnHI3Os8EVNOs0eilf-=s128-rw,https://play.google.com/store/apps/developer?id=SOFTSTAR+ENTERTAINMENT+INC.,Role Playing,"['超級群俠傳', 'Vochord', 'ZYCA', 'Empire of Angels IV', '神鵰俠侶2020-金庸正版授權']",＊溫馨小提醒：為保留最經典的天之痕，此APP檔案較大，建議各位玩家於WIFI環境下載，造成不便請多多見諒！ 「軒轅劍參外傳．天之痕」故事，發生在「軒轅劍參」之前一百五十年前的中國，時代是中國的隋朝。陳國遺民悲痛祖國亡滅，在公元六○一年，集結了數萬兵馬，興兵反抗，意圖復興故國。隋文帝立即下令平亂，然而讓陳國反抗軍訝異的是：朝廷的平亂部隊竟然只有二十人不到之兵馬，而為首之人，竟是一位年僅十歲之少年！這位身披斗篷的神秘少年，以一把神秘的「黃金之劍」，在僅僅一擊之間便將數萬陳國反抗軍馬一瞬消滅殆盡、灰飛煙滅。神秘少年與天下無敵之黃金劍「軒轅劍」威名，自此令所有人聞之色變，再也沒人敢起兵反叛朝廷。 十六年後，隋煬帝時代，男主角「陳靖仇」奉師父之命，踏上尋找傳說中五樣中原上古神器之旅。陳靖仇是陳國後裔，在襁褓時代隋朝四處搜捕陳國遺族時，他的師父陳輔犧牲了自己的孫兒，冒險將陳靖仇替代救出。陳輔將自己復國的願望，全落在幼小的陳靖仇身上（陳靖仇之名，即是「靖北虜，復國仇」的意思）。由於十六年前歷經那場驚心動魄之噩夢，師父深知自己絕對無法敵過那位手持軒轅劍的神秘少年，所以決心改換方式，開始四處尋找傳說中能讓人獲得天下之五樣上古神器:伏羲琴、神農鼎、崆峒印、崑崙鏡、女媧石，打算收齊它們，以它們的力量來復興故國。一場艱辛的復國之旅，逐頁展開。 【本遊戲依台灣法規分級為15+輔15級，本遊戲內容含未達血腥的打鬥攻擊、戀愛交友。】,90,36
She Sees Red - Interactive Thriller,Rhinotales,4.3,https://play.google.com/store/apps/details?id=com.RhinoTales.SheSeesAngry,https://lh3.googleusercontent.com/DIJyypI0vKNEVA-bqKzW5kYwjPemyndUcU-l14Enm5LhgpDsGWYyCV3yoPW2V6kSgYs=s128-rw,https://play.google.com/store/apps/developer?id=Rhinotales,Adventure,"['Corpse Party BLOOD DRIVE EN', 'Life is Strange: Before the Storm', 'The School - White Day', 'Gabriel Knight Sins of Fathers', '安之若命-不惜一切揭開真相']","Someone has killed several people at a popular nightclub. A lone detective,assigned to the case, is following every clue… wherever it may lead. In this provocative interactive thriller, NOTHING is as it seems!She Sees Red is a criminal interactive game and a hard-boiled murder mystery.Challenge your decision-making skills,choose your own path,find the murderer.- Gripping, mature game/film with anon-linear narrative- Story elements can be experienced by making meaningful choices along the way- Four possible crime solving endings based on your choices!- Professional actors, editing, lighting, and sound design make She Sees Red a unique interactive movie!- Stories with deep and intriguing twistsShe Sees Red is a dramatic choice-based game and a gripping thriller with murder in a nightclub, smart detective solving the case, and allusions to organized crime. Enjoy interesting and mysterious narrative - make decisions as the killer to see what the investigation finds out. Investigators may turn out to be much more clever than you give them credit for, and our lady detective is no exception. Visit the crime scene again, make your choices to discover new crime details, and make sure you do whatever you can to find out what really happened!NOTE!The game contains two audio tracks: original Russian and dubbed English.Lip-syncing in the dubbed version might not be perfect due to the nature of speech patterns in the original language. If you are not satisfied with the dubbed version, you can always switch to the original Russian version with subtitles (different languages available).",1962,39
三國志天下布武,YuYang Games,3.7,https://play.google.com/store/apps/details?id=com.slggames.hgsg,https://lh3.googleusercontent.com/DIJyypI0vKNEVA-bqKzW5kYwjPemyndUcU-l14Enm5LhgpDsGWYyCV3yoPW2V6kSgYs=s128-rw,https://play.google.com/store/apps/developer?id=YuYang+Games,Strategy,"['戰棋三國-三國戰爭燒腦策略手遊', '無雙名將傳- 真三國策略遊戲', '戰棋天下 - 春秋七雄之霸業王者', '亂轟三國志', '群英三国志']",《三國志天下布武》是一款擁有回合製策略元素，融合真實史料，君主演奏，特色方言配音的單機玩法SLG遊戲。遊戲中玩家從君主立場到戰略與戰術搭配，延續單機三國系列的經典玩法。讓你成為一個時代的英雄，隨時隨地完成大陸的統一！-====遊戲提示====-1，單機玩法SLG遊戲，遊戲有一定難度，玻璃心慎入。2，匡扶漢室需要動腦，合理利用資源，戰場布陣走位不斷思考才能不被電腦滅掉。無腦遊戲體驗愛好者慎入。3，遊戲需要聯網，為後續聯網玩法提前做鋪墊，同時實現即時存儲和手機雙平台數據互通。4，上手後易沉迷，熬夜需謹慎。用可愛的玩家的話就是：“學習5分鐘沉迷2小時”【關於付費模式詳解】第一階段：下載遊戲（開放189年劇本+1個存檔），可實現3個難度的統一天下。第二階段：根據自己的需求選擇性解鎖4檔買斷功能：優惠策略：解鎖任意買斷功能，即可解鎖自定義武將。內購內容：設置不影響玩家互動平衡的內購內容。強烈推薦新玩家體驗暢玩後再做打算〜【遊戲特色】1，傳統單機SLG：軍事，戰略，都將在一張地圖上展開，掌握基礎玩法後易沉迷！2，正版圖文資源：80萬字史料劇情傳記，500名將手繪美術資源3，全面領土戰爭：鑄造自己的戰線，將我軍的顏色塗滿中華大地4，史詩君主演：堅守王道還是貫徹霸道，不同君主帶來千變萬化的遊戲體驗5，燒腦策略戰鬥：永遠不要正面和敵人硬鋼，沒有選對陣形，地形，攻擊位置，潘鳳也可斬華雄。6，武將方言語音：見過說“削他”的公孫瓚，陝西話的馬超麼？上述內容你仍覺得無趣，也希望你在遊戲評價區手下留情，畢竟這個產品是我們小團隊一直用心在開發【匡扶漢室集中營】Facebook粉丝页：三國志天下布武QQ群：791429476wechat：sky5303leon——————————————————【開發者的話】這是一個三國策略遊戲，和許多朋友學生時代玩的單機三國系列類似。我知道其他一些三國遊戲也這樣打廣告，但玩家滿心期待的進去後才發現上了當。我們不會這麼做。我向你保證，這是一件帶著經典玩法的三國策略遊戲，所用到的截圖和介紹全都源自於我們的遊戲。作為中華文明中最璀璨的戰爭詩篇之一《三國演義》，多年以來被他國公司作為替換製作了一系列的單機遊戲，在國內影響深遠，乃至國內很多公司製作三國類游戲甚至向其其購買授權許可。我們尊重他國同行的專業水平，但也不甘於本國的經典儼然被他人據為己有。我們作為遊戲研發者的同時，也是一群資深三國遊戲愛好者，立志打造一款受國人歡迎的策略類三國遊戲。不可否認，某種遊戲在中國還有很長的路要走。我們只能一邊吸取同類游戲的優秀經驗，同時完善產品並合理創新。雖然這條路充滿艱難坎坷，但阻擋不了我們要做屬於國人自己三國遊戲的決心。三國，應該是中國的三國，是中國人的三國。我們帶著極大的誠意和敬意去做這款產品，為了讓產品超越底蘊，我們翻閱了《三國志》，《後漢書》，《資治通鑑》，《獻帝春秋》等眾多史料，並在考研三國的細節中，我們發現很多趣事，類似劉備是沒有鬍子的，盜書的蔣幹是一位帥哥；又有點張魯的媽媽和對頭劉璋的爸爸有不可告人的秘密關係……在設計時，我們盡量把各種細節還原到遊戲中去，力求為大家創造一個更真實的三國世界。可以毫不誇張張下來，在《三國志天下布武》中，無論是人物性格和屬性，還是官制和爵位，以及三國的世界地圖和戰場地圖等等，我們都盡力做成為同時遊戲中最專業的一個。一場好的遊戲作品離不開大家的意見，歡迎關注《三國志天下布武》，給我們提意見，讓我們共同完善這款作品，一起鑑證它成功的光輝歷程！--------三國志天下布武團隊,182,90
Three Kingdoms The Last Warlord,ChengDu LongYou Tech,4.3,https://play.google.com/store/apps/details?id=com.longyoug.hmby,https://lh3.googleusercontent.com/DIJyypI0vKNEVA-bqKzW5kYwjPemyndUcU-l14Enm5LhgpDsGWYyCV3yoPW2V6kSgYs=s128-rw,https://play.google.com/store/apps/developer?id=ChengDu+LongYou+Tech,Strategy,"['Three Kingdoms: Heroes & Glory', 'Three Kingdoms : The Shifters', '龍膽將軍趙雲傳-三國經典策略戰棋', 'ThreeKingdoms Conqueror', '無雙名將傳- 真三國策略遊戲']","Three Kingdoms: The Last Warlord is a turn-based lord-playing strategy game developed by the Chengdu Longyou Studio. The studio created this game world set in the period of the Three Kingdoms mainly based on people's opinions on other games set in that period. The game is very detailed in depicting the differences between various cities and also the abilities and features of the military officers. The game also applies an appealing battle system in which weather, landforms, and many other factors will influence the result of each battle.The game is based on the famous Chinese historical novel by Luo Guanzhong (about A.D. 1330 - 1400). Game FeaturesI. Classic and graceful  graphics finished by fine-lined drawingThe head portrait of officers are pictures from the picture-story book ""Romance of the Three Kingdoms"" which are colored carefully by our artists. All interfaces of the game are designed in a typical Chinese style.II. Governing mode easy to get started with:Auto setting and operation of governing affairs allows players to manage various affairs easily and spend more time enjoying its other facets. Since it's a lord-playing game, players need only to pay attention to the capital by ordering prefects and make policies to govern non-captical cities automatically and giving them commands when necessary.III. Rich gameplays and contentsOver 1,300 officers are available (including those recorded in historical books and novels).Officers' abilties are distinguished in detail.Officers are distinguish by over 100 unique features.Almost 100 verified precious items appear in the game world.Almost 60 cities of different styles and hundreds of features of cities are available.A techs research system with rich content runs through and supports the whole game.Six major basic arms and more than ten special arms constitute a rich arms system.Ultra abundant official positions.A marriage system dicided by you and a humanized child training and inheritance system.Various natural phenomena and disasters simulate the disastrous period of the Three Kingdoms.Merchants, seer, celebrities, famous doctors, craftsmen, blacksmiths and swordsmen wander around and visit you. IV. The turn-based battle mode requires careful planning in deploying troopsWeather, landforms and even the height of the battlefield will influence any battles in the game.Field battles and siege battles are presented differently. There are various siege vehicles for players to storm castles and also defending their own castles. The troops formation system adds more interest to battles. Different arms with different formations have different enhancement effects.About Refund PolicyDear Players：If you have made a wrong purchase or are not satisfied with the game, you can request a refund through Google Play if it’s less than 48 hours since you purchased it. Refund requests are all processed by google and overdue refund applies are not accepted. Developer will not be able to process any refund request. Thank you for your understanding and cooperation.Please refer to :https://support.google.com/googleplay/answer/7205930",2917,360
RFS - Real Flight Simulator,RORTOS,4.1,https://play.google.com/store/apps/details?id=it.rortos.realflightsimulator,https://lh3.googleusercontent.com/lQxDE88wQEiSuyDiJ3I0cbh4TDcTgOzKSaiiDtN8gnVfJmGQ-56f6S3OOqeY0s7PxA=s128-rw,https://play.google.com/store/apps/dev?id=8013171132272394676,Simulation,"['Airline Commander - A real flight experience', 'Extreme Landings', 'Airline Commander - A real flight experience', 'X-Plane Flight Simulator', 'Extreme Landings']","*** Special discounted Price! ***Live a unique experience flying in any part of the world and exploring sceneries and airports in high resolution with satellite maps, 3D buildings, runways, procedures and air traffic. Jump on board of real time flights, chat with other pilots and join them in multiplayer. Manage flight plans and interact with ATC controllers. Get access to thousands of community created liveries, customize all airplanes, their gauges, failures and weather conditions.Become a real pilot! Manual/Tutorial: wiki.realflightsimulator.org/wiki FLY NOW:-Takeoff, landing or full flight-Automatic creation of flight plan ADVANCED FLIGHT PLAN (PRO only)-Multiple options to create/edit/duplicate complex flight plans-Date/time: CUSTOM/REAL (with night and day cycle)-Flight Plan with procedures for DEPARTURE, ARRIVAL, APPROACH and TRANSITION (SID and STAR)-Aircraft: V-SPEEDS, GROSS WEIGHT LIMITS, FUEL BURN, FLIGHT TIME ESTIMATED with customization of FUEL, PASSENGERS and CARGO-Weather/Metar Departure and Arrival: CUSTOM/REAL - WIND DIRECTION/SPEED, MAIN WEATHER (CLEAR, FOG, RAIN, STORM, SNOW), CLOUDS, CLOUDS BASE, TURBULENCE, GROUND TEMPERATURE REAL TIME FLIGHTS (PRO only)-40.000 real time flights every day-Real time traffic for the 35 largest airports in the world and their connected destinations-Jump on any available real time flight and bring it to destination MULTIPLAYER (PRO only)-Join hundreds of other pilots and fly together in any part of the world-Chat with any multiplayer pilot Features: ADVANCED MULTI PANEL SYSTEM: personalize your instruments and gauges AIRCRAFT: Custom liveries, 3D live cockpit, working parts and lights AIRPORTS35 HD: High res satellite imagery, lifelike 3D buildings, taxiways and departure, arrival and approach procedures, PBB and VDGS500 SD: Runways, 3D buildings and departure and approach procedures 14000 LD (PRO only): Runways and departure and approach procedures Ground and air traffic (PRO only) ATC Air Traffic Control (PRO only)-Interactive multi voice ATC procedures and communications-Frequencies: ATIS, GROUND, TOWER, APPROACH, EN ROUTE, EMERGENCY FAILURES: CUSTOM/RANDOM - ALTITUDE/SPEED SENSOR, FUEL TANK, LANDING GEAR, ENGINE, FLAPS, AILERONS, THRUST REVERSERS, TYRES, RUDDER, SPOILER, BRAKE, ELECTRICAL SYSTEMS, RADAR SATELLITE TERRAIN (PRO only): High definition worldwide satellite terrainsSATELLITE HEIGHTMAPS (PRO only): High definition worldwide heightmaps(Satellite data requires online connection to stream data) LIVERIES: Create your airplane liveries and share them with other players around the world IN GAME:-ADVANCED MULTI PANEL SYSTEM: .INSTRUMENTS: PFD, ND, FMS, Map, Engines, Fuel, Altimeter/Anemo .INDICATORS: Air/Ground/Vertical Speed, Heading, Altitude AGL/ASM, ETE Next/Dest, Destination, Next WP, Nearest Airport, Ground/OAT Temp, Wind, Activity/Flight/UTC/Local/Arrival Time, Fuel, N1, V-Speeds and more-ILS Instrument Landing System-CONTROLS: Main Throttle, Flaps, Landing Gear, Spoiler, Brake, Rudder and Pushback-GROUND SYSTEMS: GPU, PBB, PUSHBACK-AIRCRAFT SYSTEMS: HUD, WP/AIRCRAFT/COMMS HUD, APU, ANTI ICE, NAV/BEACON/LANDING/STROBE LIGHTS-ENGINES: Start/Stop Engines, Separated Throttles, ANTI FIRE-FUEL: Weight balancing, fuel dumping and real fuel consumption-AUTOPILOT: NAVIGATION, APPROACH (Automatic Landing System) + SPEED, HDG, ALT, V/S-MASTER CAUTION ALARM-VDGS: VISUAL DOCKING GUIDANCE SYSTEM on all HD airports-MAP: air topography with airports and waypoints. Detailed airport view (HD Airport) + FMC and flight plan-MULTI CAMERAPAUSE/IN FLIGHT: -QUICK ACTIVITY: Runway/Gate Takeoff, Landing, Short Landing, Next WP and Current Position-DATE/TIME: CUSTOM/REAL-AIRCRAFT: Full customization (Load/Passengers/Fuel) anytime during your flight-WEATHER: CUSTOM/REAL-FAILURES: CUSTOM/RANDOM/OFFRESUME LAST ACTIVITYLOGBOOKONLINE MANUAL/TUTORIAL PRO Version requires a subscription Support: rfs@rortos.com",37245,287
DRAGON QUEST,"SQUARE ENIX Co.,Ltd.",4.4,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.dq1_gp,https://lh3.googleusercontent.com/lQxDE88wQEiSuyDiJ3I0cbh4TDcTgOzKSaiiDtN8gnVfJmGQ-56f6S3OOqeY0s7PxA=s128-rw,https://play.google.com/store/apps/dev?id=8026010256970589886,Role Playing,"['DRAGON QUEST OF THE STARS', 'WAR OF THE VISIONS FFBE', 'DRAGON QUEST VIII', 'DRAGON QUEST II', 'DRAGON QUEST V']","********************The game that started the legend of DRAGON QUEST is here at last for mobile devices!Discover the RPG that won the hearts of two generations!Enter a fantasy world of sword, magic, and monsters in one standalone package!Download it once, and there’s nothing else to buy, and nothing else to download!※In-game text is available in English only. ********************◆ PrologueThe peace of fair Alefgard has been shattered by the appearance of the nefarious master of the night known as the Dragonlord, and the Sphere of Light which for so long kept the forces of darkness in check has been stolen!It’s time for you, a young warrior through whose veins flows the blood of the legendary hero Erdrick, to set out on a quest to vanquish the Dragonlord, and save the land from darkness!◆ Game Features・First in the Legendary SeriesOriginally released as Dragon Warrior, you can now experience the classic retro RPG experience that swept up millions of Japanese players back in the Eighties...and never let go!Become the descendant of the legendary hero Erdrick, and embark on an epic journey through the historic realm of Alefgard, tackling fearsome foes and perplexing puzzles on your way to the dread Dragonlord’s lair!・Simple, Intuitive ControlsThe game’s controls are designed to work perfectly with the vertical layout of any modern mobile device, and the position of the movement button can be changed to facilitate both one- and two-handed play.・Experience the legendary RPG loved by millions in Japan and worldwide! Created by a legendary trio with the master creator Yuji Horii, the revolutionary synthesizer score and orchestration by Koichi Sugiyama, and art by master manga artist Akira Toriyama (Dragon Ball). --------------------◆ Supported Android Devices/Operating Systems ◆・Devices running AndroidOS version 2.3 or above.※Warning※If ART is enabled on devices running Android 4.4, the application may experience issues when initiated (ART is disabled by default).",10699,151
