name,developer,star,url,img_url,developer_url,type,recommend_ls,describe,comment_num,comment_get_num
Animal Restaurant,DH-Publisher,4.7,https://play.google.com/store/apps/details?id=droidhang.twgame.restaurant,https://lh3.googleusercontent.com/KgFMMwT0Z9AeVT-Rmrt9-xfeFbRF1C40399OcYrCudS5dxk3tDVqQFumtSdHsrKhjvo=s128-rw,https://play.google.com/store/apps/developer?id=DH-Publisher,Simulation,"['Cat Forest - Healing Camp', ""A Street Cat's Tale"", ""Miya's Everyday Joy of Cooking"", 'Adorable Home', 'Animal Hot Springs - Relaxing with cute animals']","This heartwarming management simulation game all starts with a stray cat in the forest.You're the owner of Animal Restaurant. Will you take in this clumsy, dirty kitty and let him work at your restaurant?You can learn all kinds of recipes,like taiyaki, strawberry pancakes, shaved ice, and spaghetti!There's even pizza and avocado sandwich!Mix and match all styles of furniture.We've got European-style dessert tables, Japanese-style fences, and Mediterranean-style ovens!You can also have an Alice in Wonderland-style garden tea party!Hire cute feline staff,including a ragdoll cat, a tabby cat, and a big orange cat!You've also got to get on good terms with an eccentric chef!As long as you work hard, you'll always have a steady stream of customers.Will you chat with this diverse crowd of customers?Will you listen to their thoughts, or argue with them?Learn about the customers' stories through chats and letters. You can even participate and change their lives.Hear about secrets, gossip and tear-jerking experiences.All of this and more can be found at Animal Restaurant—a simple yet cozy and cute restaurant that's all yours!Come open a restaurant and start your story!Kind reminder：It needs WRITE_EXTERNAL_STORAGE and READ_EXTERNAL_STORAGE permissions due to video Ads.Facebook: https://www.facebook.com/animalrestaurantEN	Twitter: https://twitter.com/AML_Restaurant	Instagram: https://www.instagram.com/animal_restaurant",152501,4104
Tofu Girl,JoyPac,4.1,https://play.google.com/store/apps/details?id=com.joypac.doufu,https://lh3.googleusercontent.com/KgFMMwT0Z9AeVT-Rmrt9-xfeFbRF1C40399OcYrCudS5dxk3tDVqQFumtSdHsrKhjvo=s128-rw,https://play.google.com/store/apps/developer?id=JoyPac,Casual,"['ZOOM Cloud Meetings', 'TikTok - Make Your Day', 'Instagram', 'Cash App', 'Coin Master']","Get high on...Tofu? It’s time to stack up your own tofu tower, get ready to jump over obstacles that appear from both sides. Land the girl in the middle of each tofu for more acrobatic jumps. [Game Features]◆ Cuteness at your fingertipTap to start. Help the chirpy girl to climb the tower of deliciously bouncy tofu trampolines.◆ Addictive gameplayRelax in the cheerful music and immerse yourself in the endless loop of tofu jumping! Try perfecting each jump to unleash the acrobatic genius hidden inside your Tofu Girl! ◆ Unlock more than 60 skins!Fancy new clothes for your girl or tofu? Collect as much gold as you can by making perfect jumps and completing your collection!【Game play】1. Tap to jump, land in the middle of Tofu for perfect jumps.2. Perfect jump gives higher score and gold reward.3. Use your gold to unlock more skins.",19157,972
神將三國—三國卡牌掛機類策略手游,Bosing SGCH Game,4.2,https://play.google.com/store/apps/details?id=com.ilovegame.sjsg,https://lh3.googleusercontent.com/L7JTnRJ0BwRKIU0x0AYPwKvBK0_UKZ7TNE00vWc0riBMOSkkE5Fs-mFfCZpbW1-YvVg=s128-rw,https://play.google.com/store/apps/developer?id=Bosing+SGCH+Game,Strategy,"['三國大宗師-策略卡牌RPG', '三国GO - 横向RPG三国手游', '三國又如何-最燒腦卡牌策略遊戲', '亂世妖姬', '漢家江湖']",《神將三國》是一款以三國題材為背景的全新卡牌策略掛機手遊，經典副本推圖，輕鬆掛機資源爆棚、九宮格佈陣運籌帷幄、三國名將任你調遣、各大陣營緣分任你搭配，更有全新原創副將玩法，上古神獸助您一統三國天下，坐擁萬裏山河！遊戲特色：晝夜交替，還原獨屬於您的三國世界在這裏，無論是白日的喧囂，還是黑夜的寂靜，無論是豔陽高照，還是月朗星稀，都一併呈現在眼前。時間滴滴答答的流逝，現實與夢境交織相會，還原一個獨屬於您自己的三國。副將切換，組建千變萬化的王者之師全新副將玩法配置，SSS神將任意切換，九宮格佈局策略盡顯，盡情享受收集帶來的無限樂趣，組建千變萬化的三國王者之師上古神獸，感受酣暢淋漓的浴火戰場青龍白虎，朱雀玄武，麒麟金烏，上古神獸助陣，烽煙四起鑼鼓喧天，浴血奮戰酣暢淋漓。專屬神器，助陣三國名將封神之路刀光劍影，醉臥沙場，耀眼炫目的交戰畫面，搭配各個武將獨一無二的專屬神器，披金帶甲，馳騁沙場，舍我其誰三國神將，運籌帷幄成就三國霸業數以百計的三國神將，種類繁多的個性技能，任你調遣，任你搭配，給你帶來暢爽的運籌帷幄體驗群雄爭霸，開啟橫掃三國的王者之路步步征戰，層層攀爬，這裏有歷史版圖的征戰之路，也有豐富多彩的副本玩法，更有掠奪爭搶的押鏢之行，還有層層攀登的千層瓊樓以及多人爭王的擂臺之戰。軍團爭霸，亂世國戰，吾有常山趙子龍尋找同盟，結交好友，軍團混戰，與志同道合之人浴血奮戰，亂世國戰，吾有常山趙子龍，一統天下，坐擁萬裏河山，助你成為這盛世之君,301,168
Tower Run,VOODOO,2.9,https://play.google.com/store/apps/details?id=com.lawson.tower,https://lh3.googleusercontent.com/L7JTnRJ0BwRKIU0x0AYPwKvBK0_UKZ7TNE00vWc0riBMOSkkE5Fs-mFfCZpbW1-YvVg=s128-rw,https://play.google.com/store/apps/developer?id=VOODOO,Arcade,"['Juicy Stack - 3D Tile Puzzlе', 'Idle Investor - Best idle game', 'Omimo - Idle Tap Adventure', 'Cold Cases : Investigation', 'Rolly Legs']",Tap at the right time to make a tower of humans.,4679,26
Mow Zombies,Digital Native,4.3,https://play.google.com/store/apps/details?id=com.BlueShark.gp.MZombies,https://lh3.googleusercontent.com/L7JTnRJ0BwRKIU0x0AYPwKvBK0_UKZ7TNE00vWc0riBMOSkkE5Fs-mFfCZpbW1-YvVg=s128-rw,https://play.google.com/store/apps/developer?id=Digital+Native,Casual,"['Mission: Zombies Removal-offline shooting', 'Dead Spreading:Survival', 'Zombie Blast Crew', 'Puzzle RPG: Zombie Blast Squad', 'Zombies & Puzzles']","Dear zombie hunter, the world has been destroyed, you are our last hope, zombies occupied our home completely, we will provide you with the last power of humanity -- weapons, please use them to save our world.Game features:1. Use only one hand to avoid and destroy the zombie horde coming towards you from all sides. 2. The thrilling zombie siege is visually stunning. 3. In addition to killing all zombies, there are more interesting quests to complete. 4. Get more featured guns to make you better. 5. Challenge the best boss to prove you're the best.                    So take up arms and start your challenge now!",67640,1933
Draw Climber,VOODOO,3.9,https://play.google.com/store/apps/details?id=com.appadvisory.drawclimber,https://lh3.googleusercontent.com/2ERWomw2lMLZmYuPQkALMy-YrD88Dm716MoPpUqOpJRw06x1GjXy54N0NTP6qj0lLRk=s128-rw,https://play.google.com/store/apps/developer?id=VOODOO,Arcade,"['Will It Shred? Satisfying ASMR Shredding Game', 'Paper.io 2', 'aquapark.io', 'Epic Race 3D', ""Push'em all""]",Funniest race you ever played!Draw your legs to win the race! Any drawing will make you run!When you are stuck you can draw another shape to pass!,258858,760
戀戀清庭-浪漫宮廷 戀人未滿,LUDOO GAMES,4.4,https://play.google.com/store/apps/details?id=com.ludoogames.jxqy,https://lh3.googleusercontent.com/2ERWomw2lMLZmYuPQkALMy-YrD88Dm716MoPpUqOpJRw06x1GjXy54N0NTP6qj0lLRk=s128-rw,https://play.google.com/store/apps/developer?id=LUDOO+GAMES,Role Playing,"['深宫大燕-打造你的蓝颜后宫', '熹妃Ｑ傳-體驗後宮心跳之旅', '熹妃傳-第一部可以玩的宮鬥小說', '盛世男宠：一个公主七个夫', '甜點王子2 - 心動奇蹟']",集萬千寵愛於一身的浪漫宮廷少女戀愛經營遊戲甜蜜登場！清風拂青絲，彩紗盈羅裙，古今通外最全的少女換裝搭配！從知己到戀人，情定終身；從秀女到皇后，深宮鬥爭，時光未央，歲月靜好，宮墻內的少女，浮沉在世，不諳天命，聽從心裡的抉擇，追逐著宮廷戀夢.....【相知趁年華 四大知己 戀人未滿】霸道皇子、溫柔御醫、陽光暖男、天降病嬌，京城四大知己甜蜜相伴！人生如晝行閃耀的流星，趁著最好的年華，與知己相遇相知，換裝養成傾付心意，開啟每一段怦然心動的甜蜜戀情！【桃李滿園春 慢遊宮廷 細膩國/粵配音】外出遠遊打獵種植，培養侍從扶植義子，慢悠享受宮廷中的點滴生活。隨著跌宕起伏劇情的展開，還有匠心傾力製作的收錄量逾萬句的國語/粵語雙語配音自由切換，讓你沉浸在各種溫柔、細膩、浪漫的聲線中久久不能自拔......【霓裳施粉黛 萬千少女嚮往的無盡衣櫥】羽衣霓裳，步步生姿，柔情綽態，媚於語言。滿櫃綾羅應有盡有，從青絲到玉足，從古風到現代，琳瑯滿目，別出心意！這件不喜歡？沒關係，華服自製瞭解下，最好的永遠都會有下一件！【深宮敢鬥妍 寵冠六宮 誰主天命】姐妹情深？No！宮中爭鬥，是仇是友，人前姐妹，人後算計！請把握住天命，步步晉升，穩坐鳳架，立於不敗之地，無論是庭前芍藥還是池上芙蕖，唯有代表著皇后的牡丹才最能驚動京城！官方客服郵箱：cs@ludoogames.com官方FB粉絲頁：FB搜尋 @LDG.LLQT※本軟體部份內容及幻想暴力及戀愛交友，依遊戲軟體分級管理辦法分類為輔12級。※本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務。※請注意遊戲時間，避免沉迷。,1207,220
Push'em all,VOODOO,4.0,https://play.google.com/store/apps/details?id=com.ohmgames.smashthemall,https://lh3.googleusercontent.com/2ERWomw2lMLZmYuPQkALMy-YrD88Dm716MoPpUqOpJRw06x1GjXy54N0NTP6qj0lLRk=s128-rw,https://play.google.com/store/apps/developer?id=VOODOO,Action,"['ZOOM Cloud Meetings', 'TikTok - Make Your Day', 'Instagram', 'Cash App', 'Coin Master']","Trace your way to the end of the level and push the enemies with your stick on the way! Move your character and make all the ennemies fall down (and maybe you will learn how to use traps?!)Be careful with giant ennemies and the fast ones, It's their turn to try to take you down!One-tap easy-to-learn controls with stunning visual effects and addictive gameplay mechanics!",150311,1139
Sudoku Joy - Free Classic Number Puzzle Games,JoyPuz,4.4,https://play.google.com/store/apps/details?id=com.newsudoku.number.maze,https://lh3.googleusercontent.com/fRNu1dDuUYie8zMFj19VfvJkqBERVXwIhSLOtlcJ8zy6wZmK27EIlRT01ajWr0EsatU=s128-rw,https://play.google.com/store/apps/developer?id=JoyPuz,Puzzle,"['SUDOKU - Free Games', ""Sudoku - sudoku master's puzzle library"", 'Sudoku 2020 : Evolve Your Brain', 'Sudoku', 'Conceptis MultiSudoku']","Sudoku Charmy - Free Classic Number Puzzle Games, which is suitable for sudoku beginners and sudoku experts. Whether you want to exercise your logic thinking or just pass your free time, play our Sudoku number puzzle game will be a great choice!Have a break with the Sudoku puzzles, rescue you from the busy works and heavy stress. Play it in anywhere and anytime. Choose the level you like, have some daily exercises. Train your logic and sensitivity to numbers gradually.Sudoku Key Features:★Endless collection of well crafted sudoku puzzles★2 kinds of sudoku gameplay:Level mode & Random Mode★3 kinds of grid sizes:4×4, 6×6 and 9×9 grid★4 elaborate difficulty levels:Easy,Medium,Hard and Expert★Detailed rules:Teach you play sudoku step by step★Take notes:Help you keep track of possible numbers★Intelligent hints:guide you through the puzzle when you get stuck★Statistics:Keep track of your progress and personal records★Daily challenges:Complete daily challenges and collect trophies★Customize themes:4 gorgeous color themes for you to choose★Adjustable brightness:Make your eyes more comfortable More Sudoku game options:♥Auto-undo mistakes option:Auto-undo the numbers which fail to match the final Sudoku solution.♥Hide used numbers option:Hide numbers which are already placed in 9 different cells.♥Number-first input option:Tap and hold a number to lock it and use it for multiple cells.♥Highlight area option:Highlight a block,column and row for the selected cell.♥Highlight identical numbers option:When you select a cell with a number,the same digits are highlighted.♥Auto remove notes option:When the numbers is placed,remove it from all notes in a row,column and block.♥Highlight the unique number option:When you select the only blank cell in its row,column and block,highlight the final answer for the cell.♥Highlight the same notes option:When the selected cell with a number,the same notes are highlighted.Play this Sudoku, you can train your brain anywhere, anytime.Have fun and exercise your mind at the same time with learn-able, and user-friendly fun math puzzles! You can gain endless pleasure and relaxation from the wonderful logic brain training puzzles. All your family members can join in, open an math crossword brainstorming,become great Sudoku killer!",5674,537
花舞宮廷,Origin Mood Limited,4.4,https://play.google.com/store/apps/details?id=com.originmood.hw,https://lh3.googleusercontent.com/fRNu1dDuUYie8zMFj19VfvJkqBERVXwIhSLOtlcJ8zy6wZmK27EIlRT01ajWr0EsatU=s128-rw,https://play.google.com/store/apps/developer?id=Origin+Mood+Limited,Role Playing,"['熹妃傳-第一部可以玩的宮鬥小說', '熹妃Ｑ傳-體驗後宮心跳之旅', '紫禁繁花—天衣版本重磅來襲', '叫我官老爺 - 原創宮廷模擬當官手遊']",❤遊戲介紹❤《花舞宮廷》一款唯美古風、劇情模擬、養成戀愛手遊。遊戲中目酣神醉的古風場景，各類放蕩不羈器宇軒昂男性立繪，蟬衫麟帶珠光寶氣華麗服裝使人目不暇接。在勾心鬥角的後宮闖出屬於自己的天地，妳的每個選擇都是分叉路口，一念之間掌管六宮，或是智商不足打入冷宮！在遊戲中邂逅各有故事的知己，與其他趣味相投的玩家小主遇見，體驗現實中不可比擬繽紛多彩的一生！【一場場、一次次，我們相遇夏天，邂逅於宮廷中】妳初入宮一個小小宮女，與壞人相逢即是鬥爭的開始，需要在主線勾心鬥角擊敗其他妃嬪，幸好也有遇到貴人相助。逾八十萬字劇情文本記錄妳們的相遇。妳亦可與邂逅於宮中的玩家小主，相識相知結成一方宮院勢力，與其他對手唇槍舌戰，上演一場夏日好戲。所有妳生命中的美好邂逅，造就成今天繽紛綻放的妳。【一團團、一簇簇，彩雲起伏變幻，宮內多樣生活】跌宕起伏多線劇情，稍有不慎選擇錯誤，打入辛者庫。前路蒙上陰影，猶如烏雲密布。又及休閒玩法豐富，演繹宮中不同生活。司苑務農種地，處理府務日常，育兒打獵遊山玩水，也是閒雲野鶴。妳，暢玩在藍天白雲陽光下。【一套套、一襲襲，目迷繽紛霓裳，精緻華美妝容】海量古風華美換裝搭配，上百套綾羅美衣隨心更換，多重精緻的古典妝容任情挑選。隨心裝扮成異域風情媚娘，或端莊華貴女性、英氣俏皮姑娘，成為宮廷時尚天后。【一朝朝、一夕夕，緣起初夏悸動，復甦戀愛季節】夏天是戀愛的季節，宮廷是戀愛的場所。皇帝抑或臣子、風流才子抑或豪情俠客。招為男寵夜夜笙歌，朝朝約會。在初夏，重現妳期待的愛情。一股唯美古風、一場劇情模擬、一份養成戀愛。現在就開啟一段夏日般美好的生活，開始舞動心扉的戀情。※本軟體部份內容及幻想暴力及戀愛交友，依遊戲軟體分級管理辦法分類為輔12級。※本遊戲為免費使用，遊戲內另提供購買虛擬遊戲幣、物品等付費服務。※請注意遊戲時間，避免沉迷。,2828,1074
